Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
0,"Application with writing reviews, bookmarks, and invoices","[(2, 0, 2), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 2), (2, 1, 0), (2, 1, 0), (0, 2, 0), (2, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (2, 1, 0), (0, 0, 0), (1, 0, 0), (2, 1, 0), (0, 0, 0), (2, 2, 0), (1, 1, 0)]","[48513, 66304, 38959, 38961, 56736, 35204, 35893, 41414, 11265, 35906, 35901, 41224, 35913, 35892, 44825, 41365, 35903, 44840, 35889, 35905, 35912, 5025, 35898, 33086, 29756, 35896, 59345, 33776, 48915, 3515]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 2, 1]","[[1, 0, 2], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [1, 1, 1], [1, 1, 1], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [1, 0, 2], [1, 2, 0]]"
1,Review with description,"[(2, 2, 2), (2, 0, 2), (1, 0, 1), (1, 0, 1), (0, 0, 0), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 1), (1, 1, 1), (0, 0, 1), (2, 2, 2), (2, 2, 2), (1, 1, 1), (0, 0, 0), (2, 2, 2), (0, 1, 1), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2)]","[33340, 52167, 40724, 40742, 27677, 43498, 43497, 33086, 26201, 48072, 45577, 49879, 48526, 70078, 35794, 48065, 55005, 8171, 48066, 44840, 33323, 70325, 70081, 33325, 48008, 44825, 28303, 23767, 45100, 33046]","[2, 2, 1, 1, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2]","[[0, 0, 3], [1, 0, 2], [1, 2, 0], [1, 2, 0], [3, 0, 0], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [0, 3, 0], [2, 1, 0], [0, 0, 3], [0, 0, 3], [0, 3, 0], [3, 0, 0], [0, 0, 3], [1, 2, 0], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 0, 3]]"
1,ecommerce portal homescreen with search bar and frequently used option,"[(2, 2, 2), (0, 2, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 2, 0), (0, 0, 1), (0, 0, 2), (0, 2, 2), (0, 0, 1), (0, 1, 0), (0, 0, 2), (0, 1, 2), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 1, 2), (0, 1, 0)]","[53479, 21772, 49207, 46524, 61857, 42137, 46520, 49872, 19704, 50044, 48758, 48755, 33666, 48737, 48738, 25580, 34969, 19707, 63764, 48757, 34569, 56732, 49184, 67673, 21991, 48741, 49336, 21988, 22823, 49332]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 2, 3, 0]","[[0, 0, 3], [2, 0, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [2, 0, 1], [1, 0, 2], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [1, 1, 1], [2, 1, 0]]"
2,today storms updates,"[(2, 2, 0), (2, 2, 2), (0, 0, 0), (2, 1, 0), (2, 2, 2), (0, 0, 0), (2, 2, 1), (0, 0, 0), (2, 1, 0), (2, 2, 0), (2, 1, 0), (0, 0, 0), (2, 2, 1), (2, 1, 1), (0, 0, 0), (2, 0, 1), (2, 2, 2), (0, 0, 2), (2, 0, 1), (0, 0, 1), (0, 0, 0), (2, 2, 2), (2, 1, 1), (0, 0, 0), (2, 0, 1), (0, 0, 1), (0, 0, 0), (2, 2, 1), (2, 2, 2), (0, 0, 0)]","[69974, 66541, 1095, 55051, 37413, 64157, 52327, 11823, 58349, 10384, 50705, 23714, 59150, 50715, 1090, 60693, 71700, 27993, 20461, 13752, 27988, 58873, 10041, 13984, 20473, 54315, 62677, 58881, 70890, 29528]","[2, 2, 0, 3, 2, 0, 2, 0, 3, 2, 3, 0, 2, 1, 0, 3, 2, 0, 3, 0, 0, 2, 1, 0, 3, 0, 0, 2, 2, 0]","[[1, 0, 2], [0, 0, 3], [3, 0, 0], [1, 1, 1], [0, 0, 3], [3, 0, 0], [0, 1, 2], [3, 0, 0], [1, 1, 1], [1, 0, 2], [1, 1, 1], [3, 0, 0], [0, 1, 2], [0, 2, 1], [3, 0, 0], [1, 1, 1], [0, 0, 3], [2, 0, 1], [1, 1, 1], [2, 1, 0], [3, 0, 0], [0, 0, 3], [0, 2, 1], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [0, 1, 2], [0, 0, 3], [3, 0, 0]]"
3,Price comparison application showing discounts and chash back,"[(2, 2, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (1, 1, 0), (1, 1, 0), (0, 0, 0), (1, 1, 0), (1, 1, 0), (0, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 0), (0, 2, 1), (0, 0, 0), (0, 0, 1), (0, 1, 1), (0, 1, 1), (0, 0, 0), (0, 0, 1), (0, 1, 1), (0, 0, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 2, 1), (0, 0, 0)]","[6928, 60875, 59094, 46610, 53767, 34863, 7331, 61750, 51615, 7334, 61758, 49676, 56556, 61757, 64451, 69951, 60882, 11088, 33577, 59311, 61377, 65916, 61768, 68456, 46707, 17357, 26930, 53884, 71646, 23394]","[2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0]","[[1, 0, 2], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0]]"
3,list of data with image and details,"[(0, 2, 2), (2, 0, 0), (0, 0, 0), (2, 0, 0), (1, 0, 0), (1, 0, 0), (2, 0, 0), (1, 1, 0), (2, 0, 0), (2, 0, 0), (1, 0, 0), (2, 0, 0), (1, 0, 0), (0, 0, 0), (0, 2, 0), (1, 0, 1), (0, 0, 0), (0, 0, 1), (1, 0, 2), (0, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 2), (0, 0, 1), (1, 0, 0), (0, 0, 2), (1, 0, 0), (0, 0, 0), (2, 0, 0)]","[25117, 67187, 38578, 64639, 67164, 45546, 19446, 33635, 7795, 25188, 33637, 7794, 46308, 5850, 5833, 65494, 62041, 35126, 40100, 14968, 40126, 69247, 21146, 15038, 57139, 66980, 15043, 38175, 48414, 49259]","[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[1, 0, 2], [2, 0, 1], [3, 0, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 2, 0], [2, 0, 1], [2, 0, 1], [2, 1, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1]]"
4,learn english easily,"[(1, 0, 2), (1, 2, 2), (2, 2, 2), (1, 2, 2), (1, 2, 2), (1, 0, 1), (2, 2, 2), (1, 2, 2), (0, 0, 0), (2, 2, 2), (0, 0, 0), (1, 0, 0), (0, 0, 1), (1, 2, 2), (0, 0, 0), (1, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 1, 0), (0, 2, 1), (0, 0, 0), (2, 0, 0), (2, 2, 1), (0, 0, 0), (2, 2, 1), (2, 0, 0), (0, 2, 0)]","[23185, 36571, 7537, 8116, 54363, 60375, 7797, 36568, 51295, 25018, 30924, 28481, 3269, 12006, 51148, 27934, 36567, 23658, 62638, 7794, 46605, 62639, 7793, 20137, 37602, 12007, 48519, 44677, 71712, 11743]","[3, 2, 2, 2, 2, 1, 2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 2, 0, 2, 0, 0]","[[1, 1, 1], [0, 1, 2], [0, 0, 3], [0, 1, 2], [0, 1, 2], [1, 2, 0], [0, 0, 3], [0, 1, 2], [3, 0, 0], [0, 0, 3], [3, 0, 0], [2, 1, 0], [2, 1, 0], [0, 1, 2], [3, 0, 0], [2, 1, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 0, 1], [0, 1, 2], [3, 0, 0], [0, 1, 2], [2, 0, 1], [2, 0, 1]]"
4,screen of a task manager showing open tasks of the mobile phone,"[(2, 2, 2), (1, 0, 2), (1, 2, 0), (0, 0, 1), (1, 0, 2), (1, 1, 1), (0, 0, 0), (1, 2, 1), (0, 0, 2), (0, 0, 2), (1, 0, 1), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 2), (1, 0, 0), (2, 1, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (2, 0, 1), (0, 0, 0), (2, 0, 1), (0, 0, 0), (1, 0, 1)]","[62586, 15945, 12391, 27990, 12393, 70472, 57063, 6856, 64345, 57052, 36070, 59094, 28357, 27776, 57663, 908, 61034, 907, 63521, 58665, 27987, 60047, 15908, 58666, 41704, 63962, 36872, 20932, 40665, 70461]","[2, 3, 3, 0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 1]","[[0, 0, 3], [1, 1, 1], [1, 1, 1], [2, 1, 0], [1, 1, 1], [0, 3, 0], [3, 0, 0], [0, 2, 1], [2, 0, 1], [2, 0, 1], [1, 2, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [0, 2, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [1, 1, 1], [3, 0, 0], [1, 2, 0]]"
4,text editing with their options,"[(2, 2, 2), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 1, 0), (0, 0, 0), (2, 2, 2), (0, 1, 1), (0, 0, 0), (0, 2, 2), (0, 0, 0), (0, 0, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 2), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[4396, 51704, 4885, 13600, 24726, 53217, 4285, 23378, 2274, 27484, 50598, 48717, 12304, 66489, 48723, 32308, 28277, 2270, 34993, 59531, 69444, 30360, 44224, 53507, 40026, 28282, 60801, 66333, 16048, 7999]","[2, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 3], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [0, 0, 3], [1, 2, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
5,screen with select single answer,"[(1, 1, 1), (1, 2, 1), (1, 1, 0), (1, 1, 0), (1, 2, 0), (1, 2, 0), (0, 2, 0), (1, 1, 1), (0, 1, 0), (2, 1, 0), (0, 1, 0), (1, 1, 0), (0, 0, 0), (1, 1, 0), (0, 1, 0), (2, 0, 2), (1, 0, 2), (0, 0, 0), (0, 0, 2), (0, 0, 2), (1, 2, 1), (1, 0, 2), (2, 0, 0), (2, 0, 0), (1, 0, 0), (1, 2, 0), (0, 0, 0), (0, 0, 2), (0, 1, 0), (0, 0, 0)]","[37856, 30052, 66898, 62431, 30051, 66894, 20786, 30058, 68953, 52811, 9961, 47588, 20787, 2920, 68951, 17315, 66895, 68952, 47587, 2937, 68441, 21829, 12845, 68950, 11918, 33248, 2983, 24548, 38655, 64202]","[1, 1, 1, 1, 3, 3, 0, 1, 0, 3, 0, 1, 0, 1, 0, 2, 3, 0, 0, 0, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0]","[[0, 3, 0], [0, 2, 1], [1, 2, 0], [1, 2, 0], [1, 1, 1], [1, 1, 1], [2, 0, 1], [0, 3, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [1, 0, 2], [1, 1, 1], [3, 0, 0], [2, 0, 1], [2, 0, 1], [0, 2, 1], [1, 1, 1], [2, 0, 1], [2, 0, 1], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0]]"
